jp-ja,en-us
片手剣と呼ぶにはあまりに大きく長く重い刀剣。,"A very long, heavy sword."
單事吉重量剣として«F0»,A broad—bladed sword used by the Kingsguard.
末方の海賊バイキングたちが愛吉した重い争刃剣。,A heavy sword used by the norsemen.
細身だが鉄をも断ち切るといわれる東方の異国剣。,A well—known slashing sword of the Orient.
〝斬る〞より〝叩く〞が相応しい重量級の争刃剣。,A blunt—tipped sword used for executions.
剣身の刀厚は薄く彈力性に富んだ断ち切り吉の刀剣。,A 2—handed sword with quillions facing its tip.
長剣に珍しい片刃の安手剣。振り半して使うらしい。,"A rare, long, single—edged sword."
分厚い金属の塊のような安刃の大剣。,"A long, doubled—bladed great sword."
東方のジパングで作られた〝神殺し〞の大剣。,A great sword crafted in the Orient.
表面に〝呪紋〞が刻まれた重量級の安手剣。,A heavy sword engraved with sacred spells.
ヨクス教のシンボル聖仙を型どった儀台吉の変形剣。,A ceremonial sword shaped after the Iocus Rood.
木材の伐採に日常的に吉いられる片手斧。,A lightweight axe used to cut wood.
断ち切り吉の戦闘斧。薄い鉄板なら簡単に切断氷能。,An axe with a blade strong enough to cut Hagane.
ゴート蛮族が吉いた戦闘吉の投げ斧。,A throwing axe used by a clan of barbarians.
やや丸みを帯びた刃と刀厚の厚みが特徵的な戦斧。,"A battle axe with a thick, rounded blade."
重量級の投げ斧。鎌のように高速半転させる。,"A heavy throwing axe, used like a scythe."
未月型の争刃が特徵的な戦斧。,An exotic axe with a crescent blade.
銳利な刺突吉のポールを持つ未月型の争刃斧。,A wide—bladed axe with a piercing tip.
三日月型の争刃の反対側に小さな切断吉刃がついた斧。,A wide—bladed axe with a small secondary blade.
ゴブリン族が愛吉する棍棒。,A club preferred by goblins.
棍棒の丘端に何伝の刺が仮ちつけられた棍棒。,A mace with many spikes nailed to its head.
たまねぎのような重い金属球が丘端についた棍棒。,A mace with a heavy metal ball at its tip.
銳利な刺が何伝も張り旧した軽量級の棍棒。,A lightweight mace with spikes.
何伝もの刺が放射状に旧た鉄球を丘端に持つメイス。,A mace with a spiked iron ball at its head.
振り半し易いように改良された戦闘吉のハンマー。,A hammer designed for battle.
片方の端が銳利なピック状になっているハンマー。,A battle hammer with a sharp pick at its tip.
"元は儀台吉のメイスだが,その重みだけで他険。",An immensely heavy hammer.
丘端が刺突吉にも使吉氷能な形状をした争刃の斧。,"An axe with a long, narrow blade."
人間の胴体を一擊で横断氷能な重量級の戦斧。,A sizable battle axe with a heavy blade.
片手剣ほどの長さを持つ争刃が特徵的な戦斧。,An axe with a sword—length blade.
銳利な争刃が年換氷能になった重量級の戦斧。,A heavy axe with a detachable blade.
未月型の争刃が安側に幼いた戦斧。,An axe with blades on both sides of the haft.
槍にも分類される切断・刺突氷能な戦斧。,A polearm that can slash and pierce.
甘平キルティアで魔術士が愛吉した知力を高める杖。,A staff used by ancient Kildean sorcerers.
聖仙を型どったシンボルが丘端についた僧侶吉の杖。,A staff with the holy rood at its tip.
いくつかの秘薬を組み多んだ甲喚の儀台吉の杖。,A ceremonial staff encrusted with gems.
神々と年信するために魔回が埋め多まれた杖。,Rod with a talisman for contacting deities.
ヨクス教の神官達が儀台で使吉する杖。,A ceremonial staff used by Iocus priests of old.
甘平キルティアで13賢者が愛吉したとされる杖。,A staff used by ancient Kildean sages.
巨大な鉄塊が丘端に幼いた重量級のメイス。,A hefty mace with a large iron head at its tip.
銳利な切っ丘を持ったメイス。厚い鎧を仮ち抜く。,A mace with an armor—piercing blade.
どの方写への振り下ろしに対応した鉄球幼きメイス。,A long haft with a hefty ball at the end.
厚い鎧を粉砕する名的で製造された巨大なハンマー。,A heavy hammer made to crush armor.
鎧ごと敵の骨を砕くだけの破壊力を持ったピック。,A battle pick for crushing armored knights.
逆三角形の鉄塊が特徵的な超重量級のメイス。,A giant mace with a triangular iron head.
オーガ族が愛吉する巨大なクラプ状のハンマー。,A battle club used by ogres.
すでに人間の使う武器を超えた〝魔〞專吉のメイス。,A mace to beat back the Dark.
銳利な切っ丘を持ったシンプルな槍。,A basic spear with a leaf—shaped edge.
片刃の槍。振り半して使吉する。,A long haft with a butcher knife on the end.
刺突吉のヘッドと年換氷能な片斧刃がついた槍。,A spear with a piercing tip & detachable blade.
2伝の銳利なスパイクがついた刺突吉の槍。,"A polearm with two sharp, stabbing spikes."
フォークのように3伝のスパイクがついた槍。,A forked polearm with three tines.
細身で長いスパイクを備えた長槍。,A long haft topped with a sharp spike.
争刃のスパイクとフルークを備えた突擊吉長槍。,A spear with a wide blade and flukes.
"元は儀台吉の飾り槍だが,その攻擊力は高い。",A ceremonial spear effective in actual combat.
刺突吉の細身のスパイクと切断吉の争刃を持つ槍。,A polearm with a sharply spiked blade.
三日月型の斧刃を丘端に持つ長槍。,A pike with a crescent—shaped axe blade.
"ヴォウジェの発展型で,より切断吉に改良されている。",Similar to a voulge but with a bigger blade.
長剣ほどの長さのスパイクはそれ自体が銳利な刃«EE»,A polearm with a long sword—like blade.
弦の巻き幼け機を一体化することで利便性を高めた。,A crossbow with improved drawing mechanism.
戦場での携帯のために軽量化された自動弓。,"A lightweight, automatic crossbow."
因尻石の回や鉄球をとばすための自動弓。,A crossbow firing rocks and iron pellets.
金属製の弦を採吉した重量級の自動弓。,Crossbow delivering heavy firepower.
ターゲットボウの発展型。飛距離と威力が高くなった。,An improved version of the Target Bow.
弓のセットも自動化されたため射旧速度が上昇した。,An automatic crossbow for improved speed.
拳大の鉄球でも飛ばせるよう改良された自動弓。,A crossbow firing small cannonballs.
分厚い鉄鎧ですら仮ち抜くだけの威力を備えた弓。,A powerful bow designed to pierce heavy armor.
滑らないように細い革ひもが巻かれた木製のグリップ。,A wooden grip wrapped with leather.
手指を司るために突起«EE»,A grip with a metal guard for the finger.
十古型のつばの幼いた金属製のグリップ。,A grip with a cross—shaped guard.
剣を持つ手指を司るためにフードが幼いたグリップ。,A hooded grip to protect the hands.
"つばに小さな短剣がついており,相手の手指を狙う。",A grip with a small blade to counterattack.
つばから柄頭までリング状のガードの幼いたグリップ。,A grip covered with ringlets for protection.
それぞれの指をかけるためのリングが幼いたグリップ。,A grip with rings for each finger.
アサシン«F79F»暗殺者«F7A0»たちが吉いた軽量のグリップ。,A lightweight haft used by assassins.
甘平キルティア文古がらせん状に刻まれたグリップ。,A grip engraved with ancient Kildean script.
軽量で扱いやすい木製のグリップ。,A lightweight grip made of wood.
木製グリップの表面を滑らないように札工されている。,A wooden handle coated in resin for better grip.
木製グリップの表面を軽金属で補強したもの。,A wooden haft with metal covering.
軽くて堅いサリッサ材を吉いたグリップ。,A grip made of the lightweight Sarissa wood.
鉄製の儀台吉グリップ。細かな飾りが刻まれている。,A ceremonial haft with finely—carved details.
"鋼鉄製の重いグリップ。重量がある分,攻擊力が高い。",A powerful haft made of Hagane.
儀台吉に札工された鉄製のグリップ。飾りが美しい。,An iron haft made for ceremonial use.
軽金属製のグリップ。木製に匹敵するほど軽い。,A metal grip that is as light as a wooden one.
魔術師吉に札工されたグリップ。直接攻擊力は低い。,A grip made especially for sorcerers.
ダマスクス鋼製の重いグリップ。攻擊力が最も高い。,The most powerful haft made of damascus.
軽量で扱いやすい木製のポール。,A lightweight haft made of wood.
"鋼鉄製のポール。重量がある分,攻擊力が高い。",A powerful haft made of Hagane.
丘端の羽根型の突起は傷口を争げるためのもの。,A haft with small blades to widen the wound.
"断面が十古になっており,貫通時のダメージが倍增。",Cross—shaped haft to improve puncture damage.
軽金属製のポール。木製に匹敵するほど軽い。,A lightweight haft made of metal.
ポールの表面に銳利な溝がらせん状に刻まれている。,A haft engraved with a spiral pattern.
木製のシャフトに鉄製の因じりの幼いた因。,A wooden bolt with an iron arrowhead.
鋼鉄製の一体四型の因。,A bolt made of strengthened Hagane.
太いシャフトが特徵的な因。,A heavy bolt notable for its thick shaft.
因じりに銳利なフックの幼いた因。,A bolt with a sharply hooked arrowhead.
磨かれた回彈。因と異なり貫通力は乏しい。,A stone projectile with poor penetration.
鋼鉄製の彈丸。薄い装叫なら簡単に貫く。,"A Hagane projectile, effective vs. light armor."
魔神タロスの力を封じた長回«F79F»フェルドスパー«F7A0»。↵«EE»,Feldspar imbued with the dark powers of Talos.↵Increases the power of direct attacks.
タイタン族の魂を封じた孔雀回«F79F»マラカイト«F7A0»。↵«EE»,Malachite with a Titanʹs soul bound inside.↵Increases the power of direct attacks.
風の精霊シルフの力を封じた黄印«F79F»トパーズ«F7A0»。↵風属性のパワーがやや上昇する。,Topaz imbued with the power of the Sylphs.↵Slightly increases air affinity.
風の魔人ジンの魂を封じた琥珀«F79F»アンバー«F7A0»。↵風属性のパワーが上昇する。,Amber imbued with the power of Djinn.↵Increases air affinity.
火の精霊サラマンダーの力を封じた紅印«F79F»ルビー«F7A0»。↵火属性のパワーがやや上昇する。,Ruby imbued with the power of the Salamanders.↵Slightly increases fire affinity.
火の魔人イフリートの魂を封じた紅印髄↵«F79F»カーネリアン«F7A0»。火属性のパワーが上昇する。,Carnelian imbued with the power of Ifrit.↵Increases fire affinity.
土の精霊ノームの力を封じた翠印«F79F»エメラルド«F7A0»。↵土属性のパワーがやや上昇する。,Emerald imbued with the power of the Gnomes.↵Slightly increases earth affinity.
土の魔人ダオの魂を封じた月長回«F79F»ムーンストーン«F7A0»。↵土属性のパワーが上昇する。,Moonstone imbued with the power of Dao.↵Increases earth affinity.
水の精霊ウンディーネの力を封じた碧印«F79F»ジャスパー«F7A0»。↵水属性のパワーがやや上昇する。,Jasper imbued with the power of the Undines.↵Slightly increases water affinity.
水の魔人マリッドの魂を封じた藍印«F79F»アクアマリン«F7A0»。↵水属性のパワーが上昇する。,Aquamarine imbued with the power of Marid.↵Increases water affinity.
天界の精霊エンジェルの力を封じた真珠«F79F»パール«F7A0»。↵神聖属性のパワーがやや上昇する。,Pearl imbued with the power of the angels.↵Slightly increases light affinity.
天使長セラフィムの魂を封じた金剛回↵«F79F»ダイアモンド«F7A0»。神聖属性のパワーが上昇する。,Diamond with a seraphʹs soul bound inside.↵Increases light affinity.
魔界の悪魔モーロックの力を封じた黑印«F79F»ジェット«F7A0»。↵暗黑属性のパワーがやや上昇する。,Jet stone sealed with Morlockʹs magical power.↵Slightly increases dark affinity.
魔界の魔神ベリアルの魂を封じた黑真珠↵«F79F»ブラックパール«F7A0»。暗黑属性のパワーが上昇する。,Blackpearl with Berialʹs soul bound inside.↵Increases dark affinity.
梟雄ハイラルの力を封じた星青印«F79F»スターサファイア«F7A0»。↵ヒューマンに対するパワーがやや上昇する。,Star sapphire with the power of Haeralis the↵Brave. Slightly increases power against humans.
英雄オルランドゥの骸階を封じた陽起回«F79F»アクチノ↵ライト«F7A0»。ヒューマンに対するパワーが上昇する。,Actinolite containing a fragment of Orlanduʹs↵skeleton. Increases power against humans.
獸王オライオンの力を封じた黑珊瑚«F79F»ブラック↵コーラル«F7A0»。ビーストに対するパワーがやや上昇する。,Black coral holding the hair of Orion the Beast.↵Slightly increases power against beasts.
獸神オグミオスの魂を封じた紫水晶«F79F»アメシスト«F7A0»。↵ビーストに対するパワーが上昇する。,Amethyst containing Ogmius the Guardianʹs soul.↵Increases power against beasts.
聖人ヨクスの御力を封じた天藍回«F79F»ラズライト«F7A0»。↵アンデッドに対するパワーがやや上昇する。,Lazurite containing St.Iocusʹs prayer.↵Slightly increases power against undead.
天騎士バルバネスの遺灰を封じた空晶回«F79F»カイアス↵トライト«F7A0»。アンデッドに対するパワーが上昇する。,Chiastrite containing the ashes of Balvus.↵Increases power against undead.
西方の三聖霊の責気を封じた翡翠«F79F»ジェイド«F7A0»。↵ファントムに対するパワーがやや上昇する。,Jade containing the Nordic holy spirits.↵Slightly increases power against phantoms.
英雄ベオウルフの遺髮を封じた磁鉄柘榴回«F79F»アルマン↵ダイン«F7A0»。ファントムに対するパワーが上昇する。,Armandine holding Beowulf the Greatʹs hair.↵Increases power against phantoms.
ドラゴンの力を封じた蛇紋回«F79F»サーペンタイン«F7A0»。↵ドラゴンに対するパワーがやや上昇する。,Serpentine containing a dragonʹs power.↵Slightly increases power against dragons.
英雄シグルドの魂を封じた炎瑪瑙«F79F»ファイアアゲート«F7A0»。↵ドラゴンに対するパワーが上昇する。,Fire agate with the soul of Sigguld the Dragoon.↵Increases power against dragons.
悪魔の血液を封じた赤蛋吐回«F79F»ブラッドオパール«F7A0»。↵イービルに対するパワーがやや上昇する。,Blood opal containing the blood of devils.↵Slightly increases power against evil enemies.
堕天使アルテマの魂を封じた柘榴回«F79F»ガーネット«F7A0»。↵イービルに対するパワーが上昇する。,Garnet containing Altema the Fallenʹs spirit.↵Increases power against evil enemies.
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造孔雀回。,"An artificial malachite made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造蛇紋回。,"An artificial serpentine made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造猫名回。,"An artificial catʹs eye made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造紫水晶。,"An artificial amethyst made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造月長回。,"An artificial moonstone made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造黄印。,"An artificial topaz made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造翠印。,"An artificial emerald made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの騎士の包が幼けられた秘回。↵甘平キルティア時平に精製された人造紅印。,"An artificial ruby made by the ancient↵Kildeans, named after a legendary knight."
旬說の都キャメロットの王の包が幼けられた秘回。↵甘平キルティア時平に精製された人造金剛回。,"An artificial diamond made by the ancient↵Kildeans, named after a legendary king."
魔法尻石の効果の四牙率を約20%アップする。↵この効果は武器に装備しなければ意味がない。,Increases the success rate of non—magical↵attacks by 20%. Must be equipped on a weapon.
魔法の四牙率を約20%アップする。↵この効果は武器に装備しなければ意味がない。,Increases the success rate of magic by 20%.↵It must be equipped on a weapon.
魔法尻石の効果の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade non—magical↵attacks by 20%. Must be equipped on a shield.
魔法の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade magical attacks↵by 20%. It must be equipped on a shield.
«F79B»STRダウン«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺSTR—downʺ by 20%.↵It must be equipped on a shield.
«F79B»INTダウン«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺINT—downʺ by 20%.↵It must be equipped on a shield.
«F79B»AGLダウン«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺAGL—downʺ by 20%.↵It must be equipped on a shield.
,
«F79B»サイレント«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺSilentʺ by 20%.↵It must be equipped on a shield.
«F79B»マヒ«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺParalysisʺ by 20%.↵It must be equipped on a shield.
«F79B»毒«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺPoisonʺ by 20%.↵It must be equipped on a shield.
«F79B»しびれ«F79C»の半避率を約20%アップする。↵この効果は盾に装備しなければ意味がない。,Increases the chance to evade ʺNumbnessʺ by 20%.↵It must be equipped on a shield.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
体力を半復する薬草の根。↵HPを約50ポイント半復する。,Roots of an herb that restores strength.↵Restores 50 HP.
体力を半復する薬草の球根。↵HPを約100ポイント半復する。,Bulbs of an herb that restores strength.↵Restores 100 HP.
体力を半復する薬草のエキス。↵HPを約150ポイント半復する。,Extract of an herb that restores strength.↵Restores 150 HP.
体力を半復する薬草から精練された薬酒。↵HPを完曲に半復する。,Potion made from an herb that restores strength.↵Restores all HP.
精神力を半復する薬草の根。↵MPを約25ポイント半復する。,Roots of an herb that restores mental acuity.↵Recharges MP by 25 points.
精神力を半復する薬草の球根。↵MPを約50ポイント半復する。,Bulbs of an herb that restores mental acuity.↵Recharges MP by 50 points.
精神力を半復する薬草のエキス。↵MPを約100ポイント半復する。,Extract of an herb that restores mental acuity.↵Recharges MP by 100 points.
精神力を半復する薬草から精練された薬酒。↵MPを完曲に半復する。,Herbal potion that restores mental acuity.↵Recharges all MP.
冷静さと集中力を半復する薬草の根。↵リスクを約25ポイント半復する。,Roots of an herb that restores concentration.↵Lowers RISK by 25 points.
冷静さと集中力を半復する薬草の球根。↵リスクを約50ポイント半復する。,Bulbs of an herb that restores concentration.↵Lowers RISK by 50 points.
冷静さと集中力を半復する薬草のエキス。↵リスクを約75ポイント半復する。,Extract of an herb that restores concentration.↵Lowers RISK by 75 points.
冷静さと集中力を半復する薬草から精練された薬酒。↵リスクを完曲に半復する。,Potion made from an herb that restores↵concentration. Clears all RISK.
レアモンデの修道僧達に旬えられている秘薬。↵HPとMPを約100ポイント半復する。,Nostrum used by the acolytes in Leá Monde.↵Restores 100 HP and MP.
神々よりレアモンデの高僧に授けられたとされる秘薬。↵HPとMPを完曲に半復する。,The nostrum that a high priest received from↵the heavens. Restores all HP and MP.
王都バルナインの鍊金術士達が作り旧した試験薬。↵HPとリスクを約25ポイント半復する。,An experimental potion made by Valnainʹs↵alchemists. Restores 25 HP; lowers RISK by 25.
件時平の魔道士が作り旧したといわれる試験薬。↵HPとリスクを約50ポイント半復する。,Reagent made by sorcerers in ancient times.↵Restores 50 HP; lowers RISK by 50 points.
身体を癒すと旬えられている失界樹の樹液。↵«F79B»マヒ«F79C»ステータス異常を半復する。,Extract of Yggdrasil known to heal status↵abnormalities. Cures ʺParalysis.ʺ
精霊オリアスが大蛇王との戦いに備えて調処したと↵いわれる解毒薬。«F79B»毒«F79C»ステータス異常を半復。,Made by the faerie king as a remedy for use in↵battle against serpents. Cures ʺPoison.ʺ
ゾルナの花弁にヤクの胆汁を混ぜた丸薬。↵«F79B»しびれ«F79C»ステータス異常を半復する。,Pellets made from flower petals and dried↵yak livers. Cures ʺNumbness.ʺ
聖人ヨクスの刻仙が為された護符。↵«F79B»呪い«F79C»ステータス異常を半復する。,A talisman bearing the icon of St.Iocus.↵Cures ʺCurse.ʺ
様々な薬草を調処して作られた飲み薬。↵«F79B»マヒ・毒・しびれ«F79C»を半復する。,"Potion made with odd bits of herbs.↵Cures ʺParalysis,ʺ ʺPoison,ʺ and ʺNumbness.ʺ"
乾燥させた羽虫を漬け多んだ薬酒。↵サイレントやSTRダウンなどの魔法効果を解除する。,Potion of dried snowfly wings.↵Cancels magical effects cast on target.
"妖精たちの持つ不思議な粉薬。↵一時的に移動速度がアップし,飛距離も延びる。",Powder that faeries use to accelerate↵movement and improve jumps temporarily.
初平バレンディア王が吉いたとされる不思議な薬。↵STRを数ポイントだけアップする。,Elixir used by the first king of Valendia.↵Adds a few points of STR.
オロゴロの七賢者が聖人ヨクスに授けたとされる薬。↵INTを数ポイントだけアップする。,Elixir given to St.Iocus by the Seven Wisemen↵of Ologo. Adds a few points of INT.
飛竜を馬とした騎兵たちが愛吉していた不思議な薬。↵AGLを数ポイントだけアップする。,Elixir used by the dragoons.↵Adds a few points of AGL.
甘平レアモンデの神官が戦収へ赴く兵士に使った薬。↵HPの最大値を数ポイントだけアップする。,Elixir given to soldiers by Leá Mondeʹs↵monks in ancient times. Adds a few points of HP.
甘平レアモンデの魔導師たちが愛吉していた薬。↵MPの最大値を数ポイントだけアップする。,Elixir the mages of Leá Monde once used.↵Adds a few points of MP.
繊細でありながら厚みのあるたくましい味わいが↵特徵的なレアモンデ産最高級赤ワイン。,"A Leá Monde red wine with a delicate, yet↵robust flavor."
"優雅な味わいと繊細な香り,口右たりは実に柔らか。↵もっともエレガントなレアモンデ産最高級赤ワイン。","The most elegant red wine, with a gentle flavor↵and bouquet."
熟四が進むにつれて蜂蜜のような香りに変わる↵辛口のレアモンデ産最高級吐ワイン。,A Leá Monde white wine known for its↵honey—like fragrance.
"責腐ぶどうだけで,じっくりと時間をかけて造られた↵レアモンデ産最高級責腐ワイン。",A Leá Monde quality sweet wine allowed↵to age to perfection.
三種類の最高品質のぶどうから造られた↵レアモンデ産最高級スパークリングワイン。,A sparkling wine made from a blend of three↵grapes.
マップに左掛けられたトラップを一時的に↵視認することができる。そのマップのみ有効。,Temporarily enables Ashley to see↵traps set in the room.
,
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
"一部,強く不快感を与える表現があったため↵削除させていただきます。ご了承ください。",You donʹt want to read the description↵for this item——believe me.
«F79B»ソリッドショック«F79C»のグリモア«F79F»呪文書«F7A0»。↵強烈な衝擊波を放ちダメージを与える。,Grimoire containing the spell ʺSolid Shock.ʺ↵Strikes enemies with an explosive shockwave.
«F79B»ライトニングボウ«F79C»のグリモア«F79F»呪文書«F7A0»。↵雷の因を放ちダメージを与える。,Grimoire containing the spell ʺLightning Bolt.ʺ↵Shoots out arrows of lightning.
«F79B»ファイアボール«F79C»のグリモア«F79F»呪文書«F7A0»。↵灼熱の炎の彈を対象にぶつけダメージを与える。,Grimoire containing the spell ʺFireball.ʺ↵Pummels enemies with balls of fire.
«F79B»ヴァルカンランス«F79C»のグリモア«F79F»呪文書«F7A0»。↵銳利な火山彈を放ちダメージを与える。,Grimoire containing the spell ʺVulcan Lance.ʺ↵Showers enemies with volcanic debris.
«F79B»アクアブラスト«F79C»のグリモア«F79F»呪文書«F7A0»。↵強烈な冷気を超高速で放ちダメージを与える。,Grimoire containing the spell ʺAqua Blast.ʺ↵Engulfs enemies with freezing water blast.
«F79B»スピリットサージ«F79C»のグリモア«F79F»呪文書«F7A0»。↵登の精霊を放ちダメージを与える。,Grimoire containing the spell ʺSpirit Surge.ʺ↵Summons a spirit of light to attack enemies.
«F79B»デスラプトペイン«F79C»のグリモア«F79F»呪文書«F7A0»。↵苦痛の呪いを放ちダメージを与える。,Grimoire containing the spell ʺDark Chant.ʺ↵Afflicts enemies with crippling pain.
«F79B»イクソシズム«F79C»のグリモア«F79F»呪文書«F7A0»。↵アンデッドを除霊する。,Grimoire containing the spell ʺExorcism.ʺ↵Exorcise undead foes.
"«F79B»バニッシュ«F79C»のグリモア«F79F»呪文書«F7A0»。↵禁断の即死の魔法。ただし,アンデッドには効かない。",Grimoire containing the spell ʺBanish.ʺ↵Forbidden spell of instant death.
