jp-ja,en-us
マナブレイカー,Manabreaker
ローバストフィスト,Powerfist
ブレインシールド,Brainshield
スピードスター,Speedster
充使吉秘回,untitled
セイブザクイーン,Silent Queen
ブラッククイーン,Dark Queen
キラークイーン,Death Queen
ホワイトクイーン,White Queen
充使吉1,untitled
充使吉2,untitled
充使吉3,untitled
充使吉4,untitled
充使吉5,untitled
充使吉6,untitled
充使吉7,untitled
充使吉8,untitled
充使吉9,untitled
充使吉10,untitled
充使吉11,untitled
充使吉12,untitled
充使吉13,untitled
充使吉14,untitled
充使吉15,untitled
キュアルート,Cure Root
キュアバルブ,Cure Bulb
キュアリキッド,Cure Tonic
キュアノストラム,Cure Potion
マナルート,Mana Root
マナバルブ,Mana Bulb
マナリキッド,Mana Tonic
マナノストラム,Mana Potion
ヴェラルート,Vera Root
ヴェラバルブ,Vera Bulb
ヴェラリキッド,Vera Tonic
ヴェラノストラム,Vera Potion
修道僧の秘薬,Acolyteʹs Nostrum
聖者の秘薬,Saintʹs Nostrum
鍊金術士の試薬,Alchemistʹs Reagent
魔道士の試薬,Sorcererʹs Reagent
失界樹の涙,Yggdrasilʹs Tears
精霊の祈り,Faerie Chortle
聖霊の祝福,Spirit Orison
天使の微笑み,Angelic Paean
万能薬,Panacea
羽虫の薬酒,Snowfly Draught
妖精の羽,Faerie Wing
覇王の霊薬,Elixir of Kings
賢者の霊薬,Elixir of Sages
竜騎兵の霊薬,Elixir of Dragoons
聖母の霊薬,Elixir of Queens
魔導師の霊薬,Elixir of Mages
ウァレーンス,Valens
プルーデンス,Prudens
ウォラーレ,Volare
アウデンティア,Audentia
ウィルトゥール,Virtus
千里眼晶,Eye of Argon
充使吉59,untitled
自奴規制1,untitled
自奴規制2,untitled
自奴規制3,untitled
自奴規制4,untitled
自奴規制5,untitled
自奴規制6,untitled
自奴規制7,untitled
自奴規制8,untitled
自奴規制9,untitled
自奴規制10,untitled
自奴規制11,untitled
自奴規制12,untitled
自奴規制13,untitled
自奴規制14,untitled
自奴規制15,untitled
自奴規制16,untitled
自奴規制17,untitled
自奴規制18,untitled
自奴規制19,untitled
自奴規制20,untitled
自奴規制21,untitled
自奴規制22,untitled
自奴規制23,untitled
自奴規制24,untitled
自奴規制25,untitled
自奴規制26,untitled
自奴規制27,untitled
自奴規制28,untitled
烈波のグリモア,Grimoire Zephyr
雷因のグリモア,Grimoire Teslae
炎彈のグリモア,Grimoire Incendie
収竜のグリモア,Grimoire Terre
再刃のグリモア,Grimoire Glace
閃登のグリモア,Grimoire Lux
苦呪のグリモア,Grimoire Patir
除霊のグリモア,Grimoire Exsorcer
虛空のグリモア,Grimoire Banish
爆裂のグリモア,Grimoire Demolir
充使吉15,untitled
充使吉16,untitled
充使吉17,untitled
雷空のグリモア,Grimoire Foudre
充使吉18,untitled
充使吉19,untitled
充使吉20,untitled
炎鎖のグリモア,Grimoire Flamme
充使吉21,untitled
充使吉22,untitled
充使吉23,untitled
磁踊のグリモア,Grimoire Gaea
充使吉24,untitled
充使吉25,untitled
充使吉26,untitled
瀑階のグリモア,Grimoire Avalanche
充使吉27,untitled
充使吉28,untitled
充使吉29,untitled
舞登のグリモア,Grimoire Radius
充使吉30,untitled
充使吉31,untitled
充使吉32,untitled
天破のグリモア,Grimoire Meteore
充使吉33,untitled
充使吉34,untitled
充使吉35,untitled
令精のグリモア,Grimoire Egout
令魔のグリモア,Grimoire Demance
各命のグリモア,Grimoire Guerir
軟化のグリモア,Grimoire Mollesse
解毒のグリモア,Grimoire Antidote
祓呪のグリモア,Grimoire Benir
浄化のグリモア,Grimoire Purifier
命脈のグリモア,Grimoire Vie
強殼のグリモア,Grimoire Intensite
弱骸のグリモア,Grimoire Debile
冴理のグリモア,Grimoire Eclairer
惑乱のグリモア,Grimoire Nuageux
俊敏のグリモア,Grimoire Agilite
鈍化のグリモア,Grimoire Tardif
優銳のグリモア,Grimoire Ameliorer
鈍磨のグリモア,Grimoire Deteriorer
封呪のグリモア,Grimoire Muet
耐魔のグリモア,Grimoire Annuler
邪痺のグリモア,Grimoire Paralysie
邪毒のグリモア,Grimoire Venin
呪詛のグリモア,Grimoire Fleau
停空のグリモア,Grimoire Halte
解魔のグリモア,Grimoire Dissiper
解錠のグリモア,Grimoire Clef
刻仙のグリモア,Grimoire Visible
解析のグリモア,Grimoire Analyse
恵空のグリモア,Grimoire Sylphe
恵火のグリモア,Grimoire Salamandre
恵土のグリモア,Grimoire Gnome
恵水のグリモア,Grimoire Undine
耐風のグリモア,Grimoire Parebrise
耐炎のグリモア,Grimoire Ignifuge
耐収のグリモア,Grimoire Rempart
耐冷のグリモア,Grimoire Barrer
充使吉36,untitled
黄銅の鍵,Bronze Key
黑鉄の鍵,Iron Key
吐銀の鍵,Silver Key
黄金の鍵,Gold Key
吐鋼の鍵,Platinum Key
赤鉄の鍵,Steel Key
聖仙騎士占の鍵,Crimson Key
宝箱の鍵,Chest Key
ハマシオンの刻仙,Chamomile Sigil
リリーの刻仙,Lily Sigil
ピラカンサの刻仙,Tearose Sigil
クレマチスの刻仙,Clematis Sigil
ムスカリの刻仙,Hyacinth Sigil
シャガの刻仙,Fern Sigil
アスターの刻仙,Aster Sigil
キュラスの刻仙,Eulelia Sigil
メリッサの刻仙,Melissa Sigil
カラーの刻仙,Calla Sigil
コナラの刻仙,Laurel Sigil
アカシアの刻仙,Acacia Sigil
シュロの刻仙,Palm Sigil
カルミアの刻仙,Kalmia Sigil
クサギの刻仙,Colombine Sigil
アネモネの刻仙,Anemone Sigil
バーベナの刻仙,Verbena Sigil
シラーの刻仙,Schirra Sigil
マリルドの刻仙,Marigold Sigil
ガーベラの刻仙,Azalea Sigil
トラノオの刻仙,Tigertail Sigil
ストックの刻仙,Stock Sigil
カトレアの刻仙,Cattleya Sigil
ドラセナの刻仙,Mandrake Sigil
充使吉37,untitled
充使吉38,untitled
充使吉39,untitled
充使吉40,untitled
充使吉41,untitled
充使吉42,untitled
充使吉43,untitled
充使吉44,untitled
充使吉45,untitled
充使吉46,untitled
充使吉47,untitled
充使吉48,untitled
充使吉49,untitled
充使吉50,untitled
充使吉51,untitled
充使吉52,untitled
充使吉53,untitled
充使吉54,untitled
充使吉55,untitled
充使吉56,untitled
充使吉57,untitled
充使吉58,untitled
