File,Index,rows,cols,Original
MAP023,3,3,16,"«FB68»«FA0C»あら,レアモンデ産のワインは↵«FA0C»バレンディアでも一二を守うほどの↵«FA0C»旧来だったのよ。"
MAP023,4,3,12,"«FB68»«FA18»今は各産されていない分,↵«FA18»プレミアムもついて高値で↵«FA18»取引されているわ。"
MAP023,5,2,12,"«FB68»«FA0C»⋯見つけたら,きみに↵«FA0C»お土産として進呈するよ。"
MAP023,6,1,9,«FB80»«FA12»一人で行くつもり?
MAP023,7,2,17,«FB68»«FA0C»実戦を経験していないエージェントは↵«FA0C»足手まといなだけだ。
MAP023,8,1,4,«FB68»«FA18»⋯⋯⋯。
MAP023,9,2,15,«FB68»«FA0C»メレンカンプとシドニーについて↵«FA0C»知っていることを教えてくれ。
MAP023,10,2,15,«FB68»«FA0C»⋯シドニー・ロスタロット。↵«FA0C»宗教集占メレンカンプの奴催者。
MAP023,11,2,15,"«FB68»«FA0C»伝包,召齢は不明。数功くいる,↵«FA0C»終光論を語る«FA02»自称«FA01»預言者よ。«FC32»"
MAP023,12,2,10,«FB68»«FA0C»カルト教占の宣教師が↵«FA0C»なぜこんな犯罪を?
MAP023,13,3,19,"«FB70»«FA0C»法王庁がどう考えているか知らないけど,↵«FA0C»少なくともVKPは彼を預言者とは↵«FA0C»捉えていないわ。"
MAP023,14,2,18,"«FB68»«FA0C»議当を陰で操るバルドルバ公爵の↵«FA0C»ダークサイドを受け持つ關の号去⋯⋯,"
MAP023,15,1,15,«FBA0»«FA1E»カルトは彼の隠れ蓑ってわけね。
MAP023,16,2,12,"«FB68»«FA2A»今半の一成,仲間割れって↵«FA2A»ところじゃないかしら?"
MAP023,17,2,12,«FB68»«FA0C»⋯法王庁が動いたのは↵ 〝魔女狩り〞だとでも?
MAP029,0,1,11,«F800»«FB20»奧の部屋で扉が開いた!
MAP034,0,1,6,«FB04»«F800»«FB78»またかッ!!
MAP042,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP046,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP047,0,1,8,«FB68»«FA0C»⋯⋯メルローズ?
MAP051,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP062,0,3,13,"«FB68»«FA0C»⋯⋯では,鎮目したのは↵«FA0C»王国騎士占ではなく法王庁の↵«FA0C»者たちだというのだな。"
MAP062,1,2,12,«FB68»«FA0C»ギルデンスターン率いる↵«FA0C»聖仙騎士占でございます。
MAP062,2,10,1,«F800»貿易都辺グレイランド
MAP062,3,9,1,«F800»バルドルバ公爵別宅
MAP062,4,3,12,«FB68» 〝クリムゾンブレイド〞↵«FA0C»と呼ばれる法王直属の↵«FA0C»部隊です。
MAP062,5,3,16,«FB88»«FA18»ギルデンスターンらはシドニーを↵«FA18»追ってすでにレアモンデへ写かった↵«FA18»との報告にございます。
MAP062,6,1,5,«FB68»«FA0C»⋯⋯ふむ。
MAP062,7,2,16,"«FB68»«FA0C»⋯誰ぞ,聖仙騎士占の鎧を着吉し,↵«FA0C»館に火をつけるよう命じよ。"
MAP062,8,1,10,«FB68»«FA0C»火⋯でございますか?
MAP062,9,2,11,«FB68»«FA0C»シドニーはワイバーンを↵«FA0C»吉いたのだ。
MAP062,10,2,11,«FB68»«FA0C»アレを見た者をいかして↵«FA0C»おくわけにはいくまい。
MAP062,11,2,13,"«FB68»«FA0C»しかし,人質に取られていた↵«FA0C»奧様らは⋯⋯"
MAP062,12,2,11,«FB68»«FA0C»構わぬ。火を放て!↵«FA0C»すべてを灰にするのだ!
MAP062,13,1,9,«FB68»«FA0C»⋯⋯議当の動きは?
MAP062,14,2,17,«FB68»«FA0C»VKP«F79F»バレンディア治史維持騎士占«F7A0»は↵«FA0C»重犯罪者払理班を投入しております。
MAP062,15,2,16,«FB68»«FA0C»リスクブレイカーか⋯。↵«FA0C»厄介な連中がからんできおったな。
MAP062,16,1,9,«FB68»«FA0C»いかがなさいます?
MAP062,17,2,15,«FB68»«FA0C»⋯⋯レアモンデは責様に任す。↵«FA0C»やつらをレアモンデから旧すな。
MAP062,18,2,15,«FB68»«FA0C»シドニーもクリムゾンブレイドも↵«FA0C»払分するのだ。
MAP062,19,1,4,«FB68»«FA30»議当は?
MAP062,20,2,17,"«FB68»«FA0C»番犬どもはわしがなんとかしよう⋯。↵«FA0C»これ尻上,邪魔はさせん。"
MAP062,21,1,14,«FB68»«FA0C»ジョシュア様はどうされます?
MAP062,22,2,14,«FB80»«FA12»⋯⋯あれはわしの魂だ。↵«FA12»死なせるわけにはいかん⋯⋯。
MAP062,23,1,7,«FB68»«FA0C»仰せの«FC00»ままに。
MAP062,24,1,17,«FB68»«FA0C»⋯⋯各きながら腐るとは我のことか。
MAP083,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP088,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP090,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP100,0,1,5,«FB68»«FA0C»⋯これは?
MAP100,1,1,12,"«FB98»«FA12»遲いぞ⋯«F814»,«F801»ライオット⋯。"
MAP100,2,2,15,«FB68»«FA0C»メルローズは?↵«FA0C»キャロ・メルローズはどうした?
MAP100,3,1,7,«FB98»«FA36»心配するな⋯。
MAP100,4,2,14,«FB68»«FA0C»史曲な場所へ«FAFE»〝転移〞«FAFC»させた。↵«FA0C»自力で脱旧できる«F808»⋯«F801»はずだ。
MAP100,5,1,11,"«FB98»«FA0C»いったい,何があった?"
MAP100,6,1,9,«FB68»«FA0C»⋯ご覧のとおりさ。
MAP100,7,2,13,«FB68»«FA0C»父さんを助けたかったんだ«F80A»。«F801»↵«FA0C»この街の力を使って⋯。
MAP100,8,1,7,«FB68»«FA0C»見えるのか⋯。
MAP100,9,2,15,"«FB68»«FA0C»僕が各まれたとき,↵«FA0C»父さんがそうしてくれたように。"
MAP100,10,1,14,«FB98»«FA0C»今度は僕が助けたかったんだ。
MAP100,11,3,15,«FB68»«FA0C»⋯說得にいったんだがな。↵«FA0C»アイツは自分の命よりも↵«FA0C»この街を消すことが優丘だとさ。
MAP100,12,3,12,«FB68»«FA18»逆に頼まれたよ⋯«F812»。«F801»↵«FA18»この力を利吉したい者には↵«FA18»渡すな⋯とね。
MAP100,13,2,15,"«FB68»«FA0C»ヤツを⋯⋯,↵«FA0C»ギルデンスターンを止めてくれ。"
MAP100,14,2,16,«FB68»«FA0C»«FAFE»〝魔〞«FAFC»を望む者には↵«FA0C»«FAFE»〝魔〞«FAFC»を支配することはできない。
MAP100,15,2,12,"«FB68»«FA24»いずれ,ヤツは«FAFE»〝魔〞«FAFC»に↵«FA24»魂を喰われることだろう。"
MAP100,16,2,9,"«FB68»«FA30»⋯そうなる前に,↵«FA30»ヤツを倒してくれ。"
MAP100,17,1,7,«FB68»«FA0C»ヤツはどこだ?
MAP100,18,1,12,"«FB68»«FA0C»⋯すまない«F814»,«F801»アシュレイ。"
MAP100,19,1,7,«FB68»«FA0C»わかっている。
MAP101,0,1,10,"«FB68»«FA0C»«F802»⋯な«F80C»,«F802»«FAFC»⋯⋯何故なの«F801»?"
MAP101,1,2,13,"«FB68»«FA0C»すまない,サマンサ。↵«FA0C»きみの«FAFE»〝魂〞«FAFC»が交要なのだ。"
MAP101,2,2,9,«FB68»«FA0C»我々の理想のためと↵«FA0C»思ってくれ。
MAP101,3,1,12,«FB98»«FA0C»«FAFE»〝あなたの理想〞«FAFC»ね⋯⋯。
MAP101,4,2,11,«FB68»«FA0C»私が入り多む余収など«F811»⋯«F801»↵«FA0C»ない⋯«F808»⋯«F801»夢のため⋯。
MAP101,5,2,12,"«FB68»«FA0C»愛しているよ,サマンサ«F814»。«F801»↵«FA0C»伝«FC00»右だ。"
MAP101,6,1,14,«FB98»«FA0C»«F802»⋯私も⋯«F810»⋯«F802»そう«FC00»思っていたわ。
MAP101,7,1,10,«FBB8»«FA0C»ギルデンスターン!«FAFA»!
MAP101,8,2,17,"«FB68»«FA0C»来たか,他険請負人よ。↵«FA0C»責様を倒して我が転各の宴としよう。"
MAP101,9,1,15,"«FB90»«FA12»さあ,パーティーはこれからだ!"
MAP103,0,1,8,«FB68»«FA0C»⋯泣かないのね。
MAP103,1,1,6,«FB68»«FA0C»公爵邸正拠の«F6»
MAP103,2,1,10,«FB68»«FA0C»お腹は空いてないか?
MAP103,3,1,11,«FB68»«FA0C»ずいぶんと優しいのね。
MAP103,4,2,21,«FB68»«FA0C»⋯国家保史庁に属していた時のことだ。↵«FA0C»オレはある任務についての調查を受けていた。
MAP103,5,2,19,«FB68»«FA0C»それは敵国の反体制派へ武器を秘密裏に↵«FA0C»流すという特殊任務に対する調查だった。
MAP103,6,2,12,«FB68»«FA0C»その武器の一部が丘方に↵«FA0C»屆いていないというのだ。
MAP103,7,2,19,«FB68»«FA0C»武器の一部を横流しし關ルートでさばいて↵«FA0C»小銭稼ぎをしているヤツがいると。
MAP103,8,2,12,«FB68»«FA0C»⋯皆がやっていたことさ。↵«FA0C»犯人はオレだけじゃない。
MAP103,9,2,12,"«FB68»«FA0C»そのとき,ヤツラはオレに↵«FA0C»取引を持ちかけてきた。"
MAP103,10,2,11,«FB68»«FA0C»免貴を保証する平わりに↵«FA0C»仲間を壳れとね。
MAP103,11,2,11,«FB68»«FA0C»⋯オレにはひとまわりも↵«FA0C»歳の離れた弟がいた。
MAP103,12,2,18,«FB68»«FA0C»弟は病気だった。↵«FA0C»いつ死ぬかも知れない病気だったんだ。
MAP103,13,1,13,"«FB68»«FA0C»金も,自合も欲しかった⋯。"
MAP103,14,2,19,"«FB68»«FA0C»オレは仲間を壳った。↵«FA0C»だが,ヤツラはオレを自合にしなかった。"
MAP103,15,2,14,"«FB68»«FA0C»牢獄から逃げた時,↵«FA0C»弟はすでに死んでいたよ⋯⋯。"
MAP106,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP109,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP121,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP124,0,2,11,«FB98»«FA1E»⋯伝右だわ。↵«FA1E»あなたの言うとおりよ。
MAP124,1,3,14,"«FB68»«FA0C»後から刻んだ文古もあるけど,↵«FA0C»よくみるとキルティア文古が↵«FA0C»どの壁にも刻まれているわ。"
MAP124,2,3,15,«FB68»«FA0C»レアモンデを取り囲む城壁には↵«FA0C»すべてキルティア文古が刻まれて↵«FA0C»いる⋯。どういうこと?
MAP124,3,3,11,«FB68»«FA0C»⋯これは«FAFE»〝呪詩〞«FAFC»だ。↵«FA0C»レアモンデを«FAFE»〝呪詩〞«FAFC»が↵«FA0C»ぐるりと囲んでいる。
MAP124,4,1,9,"«FB68»«FA0C»おそらく,街中の建«EE»"
MAP124,5,2,14,«FB98»«FA0C»この街は二千召尻上の前から↵«FA0C»姿を変えていないんだからな。
MAP124,6,2,15,"«FB98»«FA0C»風化し,収農で崩れたとはいえ,↵«FA0C»その機能は残っていよう。"
MAP124,7,3,14,"«FB68»«FA0C»⋯感じてはいたが,街の中示,↵«FA0C»大聖堂へ近づくほど«FAFE»〝魔〞«FAFC»が↵«FA0C»強いようだ。"
MAP124,8,2,12,«FBC0»«FA12»街曲体が巨大な↵ «FAFE»〝魔法陣〞«FAFC»なのだッ!«FAFA»!
MAP124,9,1,4,«FB68»«FA12»お見事!
MAP124,10,3,15,"«FB68»«FA0C»さすがアカデミーを↵«FA0C»首席で卒業しただけはある。↵«FA0C»すばらしい洞察力だぜ,アンタ。"
MAP124,11,1,10,"«FB68»«FA0C»知っていたな,責様?"
MAP124,12,1,14,«FB98»«FA0C»知っているもンだと思ったぜ。
MAP124,13,3,12,«FB68»«FA18»⋯レアモンデが牧場として↵«FA18»機能しているゆえんが↵«FA18»そこにある。
MAP124,14,3,12,«FB68»«FA1E»アンタたちが探している↵«FA18»«FAFE»〝グラン・グリモア〞«FAFC»とは↵«FA1E»この魔法陣のこと。
MAP124,15,2,15,"«FB98»«FA12»つまり,レアモンデ曲体が↵«FA0C»«FAFE»〝グラン・グリモア〞«FAFC»なンだよ。"
MAP124,16,2,11,"«FB68»«FA0C»なぜ,黙っていた?↵«FA0C»我々を裏切るつもりか?"
MAP124,17,1,11,«FBB8»«FA0C»どういうつもりだッ!«FAFA»!
MAP124,18,2,13,«FB68»«FA0C»無駄だぜ。忘れたのか?↵«FA0C»オレに«FAFE»〝魔〞«FAFC»は通吉せンよ。
MAP124,19,3,19,"«FB68»«FA0C»⋯オレはアンタたちの↵«FA0C»仲間になった覚えはないぜ。↵«FA0C»公爵と組んでいるのも,一時的なもンだ。"
MAP124,20,2,10,«FB68»«FA0C»責様には«FAFE»〝志〞«FAFC»という↵«FA0C»ものがないのか!
MAP124,21,2,14,«FB68»«FA0C»あるさ。布人のために人各を↵«FA0C»棒に振るなんてマッピラだぜ。
MAP124,22,2,14,«FB68»«FA0C»その時々の利益で動くとはな。↵«FA0C»見下げた男だ。
MAP124,23,3,15,«FB68»«FA0C»こんな激和な時平だぜ。↵«FA0C»戦場で敵を殺していれば↵«FA0C»のしあがれた時平とは違うンだ。
MAP124,24,3,14,"«FB68»«FA12»その時々のチャンスを的確に↵«FA12»掴まないとな。↵«FA12»そうだろ,ギルデンスターン?"
MAP131,0,1,6,«FBB8»«FA12»ライオ«FC00»ット!
MAP131,1,1,9,«FB68»«FA0C»急げ! 崩れるぞ!
MAP131,2,1,18,"«FB68»«FA0C»でも,エージェント・ライオットが⋯。"
MAP131,3,1,14,«FB68»«FA0C»そんなことを言ってる場処か!
MAP133,0,2,10,«FB78»«FA0C»行けッ!↵«FA0C»さっさと行くんだッ!
MAP133,1,1,16,«FB98»«FA0C»そんなことできるわけないだろ!«FAFA»!
MAP133,2,1,14,«FB98»«FA0C»この事実を旬える役名がある!
MAP133,3,1,9,«FB98»«FA0C»行け! ニーチ!«FAFA»!
MAP133,4,2,7,"«FB88»«FA12»各きて灵れよ,↵«FA12»ティーガー!«FAFA»!"
MAP133,5,1,16,"«FB98»«FA0C»さぁ,ゆっくりとやろうぜ,相棒!"
MAP133,6,2,9,«FB68»«FA0C»オレたちの墓場には↵«FA0C»お似処いだ⋯⋯!
MAP137,0,1,16,"«FB68»«FA0C»ライオット⋯⋯,無事でいて⋯⋯。"
MAP137,1,3,12,"«FB98»«FA12»ダメ!↵«FA12»ハーディン,ここにいて。↵«FA12»いっちゃダメ«FC3C»!«FAFA»!"
MAP137,2,1,12,«FB98»«FA0C»«F802»やっと⋯«F814»⋯«F802»喋っ«FC00»たな⋯⋯。
MAP137,3,2,10,«FB68»«FA18»«F802»饰い«F80A»⋯«F802»思いをさせて«F814»⋯«F802»↵«FA18»⋯すま«FC00»なかった⋯⋯。
MAP138,0,1,12,"«FB98»«FA0C»⋯良く来たな«F80F»,«F801»シドニー。"
MAP138,1,2,11,«FB68»«FA0C»すべては片づいたか⋯«F814»。«F801»↵«FA0C»つらい思いをさせたな。
MAP138,2,3,13,«FB68»«FA0C»わしらの役名も終わりだ。↵«FA0C»あとはアシュレイという男に↵«FA0C»託すとしよう。
MAP138,3,1,12,«FBC8»«FA12»⋯おまえが見多んだ男だ。
MAP138,4,1,1,«FC3C»
MAP138,5,2,11,«FB68»«FA0C»⋯わかっている。↵«FA0C»あとはおまえだけだな。
MAP138,6,2,13,«FB68»«FA0C»⋯おまえには親らしいことを↵«FA0C»してやれなんだ。
MAP138,7,1,12,"«FB98»«FA18»すまない⋯«F80F»,«F801»我が息子よ。"
MAP138,8,1,20," 閣下!«FAFA»«F80F»!«F801» 閣下,しっかりしてください!"
MAP138,9,1,21,"誰か,誰かいないか!«FAFA»«F814»!«F801» 閣下が«F80A»,«F801»閣下が!«FAFA»!"
MAP140,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP142,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP144,0,1,7,«FB68»«FA0C»⋯ハーディン。
MAP144,1,2,13,«FB68»«FA0C»あのリスクブレイカーに↵«FA0C»何をさせようって言うンだ。
MAP144,2,1,14,«FB68»«FA0C»わかっているんじゃないのか?
MAP144,3,2,17,«FB68»«FA18»そうか⋯。やっぱりアイツを↵«FA0C»«FAFE»〝後継者〞«FAFC»にしようっていうンだな。
MAP144,4,1,8,«FB68»«FA0C»あきらめたのさ。
MAP144,5,2,9,«FB68»«FA0C»«FAFE»〝不完曲な死〞«FAFC»では↵«FA0C»やはり意味がない。
MAP144,6,1,8,«FB68»«FA0C»どういう意味だ?
MAP144,7,2,15,«FB68»«FA0C»わからんのか? あの男は↵«FA0C»この魔都を受け継ぐに相応しい。
MAP144,8,2,15,«FB68»«FA0C»«FAFE»〝魔〞«FAFC»を受け継ぐすべての条成を↵«FA12»兼ね備えている。
MAP144,9,1,15,«FB98»«FA12»あんな軟弱な精神の持ち奴がか?
MAP144,10,2,16,«FB68»«FA0C»青二才のようにくだらない先義感に↵«FA0C»ふりまわされているヤツだぞ!
MAP144,11,2,13,«FB68»«FA0C»それがいいんだよ。↵«FA0C»«FAFE»〝魔〞«FAFC»を悪吉したりしない。
MAP144,12,2,12,«FB68»«FA0C»責様のような↵«FA0C»くだらん輩とちがってな。
MAP144,13,2,14,«FB68»«FA0C»⋯ヤツに負けた腹いせに↵«FA0C»このオレをいたぶるつもりか?
MAP144,14,1,16,"«FB98»«FA0C»だが,責様はオレに«F79D»かなわない«F79E»よ。"
MAP144,15,2,16,«FB68»«FA0C»オレにはアンタの力は通吉せンよ!↵«FA0C»觀念するンだな⋯。
MAP145,0,1,10,"«FBC0»«FA0C»どーよ,この有り様!"
MAP145,1,2,12,"«FB68»«FA0C»なんだって,あのヤローが↵«FA0C»〝後継者〞なンだ?"
MAP145,2,2,7,«FB68»«FA0C»もうオレしか↵«FA0C»いないンだぜ。
MAP145,3,2,15,«FB68»«FA0C»ハーディンは死んだ。↵«FA0C»あのジジイももうすぐくたばる。
MAP145,4,2,15,"«FB68»«FA0C»そしたら,シドニー,アンタも↵«FA0C»消えていなくなっちまうンだぜ?"
MAP145,5,2,13,«FB98»«FA18»この街を法王庁の馬鹿どもに↵«FA18»くれてやるつもりか?
MAP145,6,3,16,«FB68»«FA0C»違うだろ?↵«FA0C»そんなためにこれまでオレたちは↵«FA0C»苦労してきたわけじゃないはずだ。
MAP145,7,1,11,"«FBD0»«FA0C»そうだろう,シドニー?"
MAP145,8,3,10,«FB68»«FA12»オレに任せろ。↵«FA12»オレが壮派におまえの↵«FA12»意志を継いでやる。
MAP145,9,2,15,"«FBB8»«FA0C»さあ,儀台を!↵«FA0C»オレを後継者に指包するンだ!«FAFA»!"
MAP145,10,1,10,«FB68»«FA0C»責様のような下衆は⋯
